n_ocupacao,media_EME,var_EME,DP_EME
0,-1.8637128763307872e-05,1.0162395733971195e-06,0.0010080870862168205
10,-0.22058040961108102,0.054413421356147185,0.2332668458142888
20,-0.21115831744087166,0.08361082382426674,0.2891553627797118
30,-0.22258922825764174,0.09491136651965815,0.30807688410469575
40,-0.27561331340778095,0.11608520600040878,0.34071279107249375
50,-0.3469503724228125,0.15578867259992216,0.3947007380280941
60,-0.28782902938423466,0.12341172791558833,0.3513000539646818
70,-0.32922126760877746,0.1388029369767059,0.37256266181235326
80,-0.25502108364204673,0.20054977667818788,0.4478278426786212
90,-0.3229777123313113,0.16360798650847294,0.4044848408883489
100,-0.29167497359842753,0.1525984542510797,0.3906385212073685
