Oc,media_erro,var_erro,desvio_padrao_erro
0,30.00090663661012,0.2895012728155704,0.5380532248909679
10,7.754739681721942,904.1823791413007,30.069625523795615
20,-14.58704066341528,1728.9338616097677,41.580450473867735
30,-37.05910437038649,2432.0621678456496,49.31594232949067
40,-59.446564481722454,3029.3321262266163,55.03936887562044
50,-81.7673058707949,3558.815387249166,59.655807657336815
60,-104.21250850579148,4020.3138842359704,63.40594518052681
70,-126.73390339172909,4370.644559744407,66.11085054470564
80,-149.11144010532504,4614.583577100803,67.93072631071159
90,-171.3837879345764,4766.793846053713,69.04197162634996
100,-193.69048350373146,4840.155992191625,69.57122962972284
