n_ocupacao,media_DP,var_DP,DP_DP
0,0.0,0.0,0.0
10,17.853968409160565,6.709043262469709,2.5901820906009116
20,37.04186054801019,20.339953363191853,4.509983743118355
30,53.06134504114945,35.30055540344881,5.941427051092087
40,68.39118238809714,51.08554890440617,7.147415540207954
50,82.13117326081073,71.12461947361749,8.433541336450393
60,94.76254220875235,89.99583390675258,9.48661340557064
70,106.66850958783604,113.5146857947288,10.654327092535164
80,117.99922413933889,138.04941064770924,11.749442993083086
90,126.75885329094676,164.83702065793395,12.838887049037153
100,134.63570494477858,164.0099788702756,12.806638078366843
