Oc,media_erro,var_erro,desvio_padrao_erro
0,40.18033083024292,1220904189.1932483,34941.439426463934
10,-3.4309355903877403,84321335.45251612,9182.664942842906
20,-18.29175953512755,110304286.15617467,10502.58473691951
30,-6.535661198834451,85803960.04392064,9263.042699022855
40,30.598236796325608,675757975.5888084,25995.345267736076
50,1.1569769713703588,419705602.42376745,20486.71770742613
60,-18.402107302150373,87464375.80591384,9352.239079809382
70,-12.890218855076585,131043778.56585667,11447.435458034111
80,-25.390537341721014,298378987.2703585,17273.650085328187
90,-9.749083264101662,263561358.811211,16234.572948224139
100,2.8044700698814884,365135331.26950693,19108.514627503282
