n_ocupacao,media_EME,var_EME,DP_EME
0,6.879671773494061e-07,2.3306521080945398e-08,0.00015266473424123005
10,9.87000863410496,1.0389261191519186,1.019277253328023
20,19.751667152316376,4.034017018008861,2.008486250390791
30,29.663881927355554,8.918695953907857,2.986418583170795
40,39.567487017112775,15.771948184234073,3.971391215208352
50,49.46966709279816,24.448322376439794,4.944524484360432
60,59.405430761231834,35.34523352972865,5.945185743921602
70,69.32925855181264,47.948308162136776,6.924471688304948
80,79.23581924090405,62.540897981647,7.908280342884097
90,89.120821243067,79.14562953044128,8.896382946481188
100,98.99653524835394,97.41179350258386,9.869741308797504
