n_ocupacao,media_EME,var_EME,DP_EME
0,29.705433276288037,8.747887483846423,2.9576827895916127
10,7.632587408218455,1.0057741174000334,1.0028829031347746
20,-14.46646205672639,2.912868543559802,1.7067127888311502
30,-36.63182742815148,14.358523141645769,3.789264195281951
40,-58.78182272172766,35.52370511714086,5.960176601170544
50,-80.9251817813418,65.96929467430533,8.122148402627554
60,-103.14446561597414,107.35220643992281,10.361090986953199
70,-125.33720901054046,157.48911660926632,12.549466785854541
80,-147.49318731792002,217.23569848029678,14.738917819171691
90,-169.59891328557558,287.11610448244414,16.94450071505337
100,-191.68403796656332,365.5527609536946,19.119434116984074
