Oc,media_erro,var_erro,desvio_padrao_erro
0,-1.2974867156025012e-06,2.056425078129909,1.4340240856170823
10,9.94710680414542,345.3680113497491,18.58407951311415
20,19.93819546495083,647.0693214607592,25.437557301375445
30,29.987041515003682,916.667266220404,30.2765134422774
40,39.9965254359445,1164.0405822879618,34.11803895724316
50,49.979169844438765,1392.0489836397483,37.31017265625755
60,60.014408601156404,1605.74511899319,40.07174963728425
70,70.08473674078843,1793.1759071967251,42.34590779752779
80,80.09152833232093,1953.9920683070425,44.203982493741925
90,90.05217592527079,2092.08890169305,45.73935834369619
100,100.0253366279648,2209.0699401219654,47.00074403796141
