n_ocupacao,media_DP,var_DP,DP_DP
0,0.15271573867505794,0.0034358679453312304,0.05861627713639984
10,41.63618586802701,15.756813924452018,3.9694853475547704
20,50.247775488827656,26.598360352787765,5.1573598238621825
30,55.99475727350724,30.786036892274915,5.548516638911242
40,60.34313619010439,34.961590111006444,5.9128326638766335
50,63.7129130545021,39.92846545901563,6.318897487617252
60,65.95501146604613,44.13748421540631,6.6436047606255375
70,67.88385656322824,47.02293476740801,6.857327086220112
80,69.07480445540469,46.63866377856297,6.829250601534767
90,70.17442539610435,52.20956770893,7.225618846087165
100,70.14689901464642,47.51334663431542,6.892992574659821
