n_ocupacao,media_DP,var_DP,DP_DP
0,1.3496455668060816,0.016198446219685622,0.12727311664167584
10,52.363225049160256,23.099037253287552,4.8061457794460996
20,73.63195009929137,50.075230953165395,7.076385444078452
30,89.52249841750117,73.4375912777005,8.569573576188054
40,102.65808578739417,94.7499375409961,9.733957958661836
50,113.77393742790852,116.25850546769377,10.782323750829121
60,123.86144519174856,134.9089054619151,11.615029292339951
70,132.80198186560628,157.0233885982887,12.53089735806214
80,140.91649774137372,174.87450389026978,13.224012397539175
90,148.13277889030667,197.06795307860523,14.03808936709712
100,154.92339066535018,210.31544439614626,14.50225652773203
