n_ocupacao,media_SNR,var_SNR,DP_SNR
0,nan,nan,nan
10,-31.023784307803123,1.5888554875391936,1.2604981108828341
20,-34.43074038190959,0.4924050358354364,0.7017157799532774
30,-35.71320086325183,1.4570307031627814,1.2070752682259633
40,-36.70720673067544,0.7338721543669194,0.8566633845139638
50,-37.351801519158144,0.3699130904701643,0.6082048096407692
60,-37.84446354393171,0.09650609085831272,0.31065429476881967
70,-38.1837405397671,0.13868431710922766,0.37240343326723996
80,-38.45068763370101,0.38542211802833204,0.6208237415147169
90,-38.50557832902828,1.3502226322311295,1.1619908055708228
100,-38.68716898821655,0.03932479062189128,0.1983047922312804
