n_ocupacao,media_EME,var_EME,DP_EME
0,13.024746734805596,63204.31842696535,251.40469054288815
10,-0.8499658153118727,20748.2262429053,144.04244597654298
20,12.017203353701804,23839.350357855015,154.39996877543408
30,35.54421204322034,2994.6621370938497,54.72350625731003
40,59.134779026709545,39537.49558745375,198.84037715578228
50,29.842263790934766,14664.971024973725,121.09901331131367
60,-88.8669838503088,2138356.8416448887,1462.3121560203515
70,74.22969768930487,3056.0330281543747,55.281398572705946
80,60.531818180801565,131843.7821217964,363.10299106699244
90,-2185.6996257624724,512682840.5294058,22642.500756970414
100,90.3327287368941,7536.1655381494675,86.81109110101927
