n_ocupacao,media_EME,var_EME,DP_EME
0,0.0,0.0,0.0
10,0.023930900629564853,0.01575680342940762,0.12552610656515886
20,0.02838037332592145,0.07313533298414195,0.27043545067934777
30,-0.015877770044302138,0.16661901811823887,0.40818992897698847
40,0.010536505193815927,0.15707488878116235,0.3963267449733393
50,-0.014916540711896714,0.24986123370652627,0.499861214445096
60,-0.073422853672118,0.3048277141202536,0.5521120485193686
70,-0.029540159201100924,0.4967613756747785,0.7048130075947652
80,0.02659319460759707,0.588854473359495,0.7673685381610944
90,-0.07779468263448204,0.6111299112327733,0.7817479844763101
100,-0.05823709918859544,0.5429805877582377,0.7368721651400857
