n_ocupacao,media_DP,var_DP,DP_DP
0,29.725493138613174,7.732917742049428,2.780812424822902
10,22.84500972703753,4.737296070594713,2.176533039169108
20,33.02782570152582,10.866839568611963,3.2964889759579
30,50.88859605528829,24.65652617020649,4.96553382530081
40,70.8681523373178,45.19117760184592,6.7224383672776
50,91.53279846471888,74.57484667539153,8.635672913872522
60,112.73034842264059,111.75901488093525,10.571613636571064
70,133.97643958013714,160.4947022620987,12.668650372557398
80,155.35070608800072,211.46142011847442,14.541713108106432
90,176.7068604088807,276.72127413465876,16.63494136252541
100,198.14509164659196,334.38376698587314,18.28616326586507
