Oc,media_erro,var_erro,desvio_padrao_erro
0,13.344058601920633,510163727.8658475,22586.80428626076
10,-7.878183687137712,26096697.64183865,5108.49269763975
20,55.51898577834827,697686176.6203285,26413.74976447548
30,-6.2764927606808785,178434457.0293613,13357.936106650657
40,-23.202829559432537,77508440.62172677,8803.887812877148
50,-12.821678710241528,190836534.80181625,13814.359731881035
60,5.727527702314139,68791439.55124351,8294.06049840749
70,-7.089535334303686,420178459.2764222,20498.255030036635
80,-36.583698837720696,1865617024.5760684,43192.78903446811
90,-11.777973094751172,557457011.3803753,23610.52755404621
100,14.235959649148663,89199948.03156377,9444.5724112616
