Oc,media_erro,var_erro,desvio_padrao_erro
0,-40.21951515262726,289764191.4797648,17022.461381356246
10,4.939565788544449,181815777.34905133,13483.908088868424
20,50.855905134936236,1945403682.8049865,44106.73058394814
30,30.262580701121095,840070293.6496491,28983.966147676358
40,-20.527495721514587,206300905.18274686,14363.178797980163
50,1.910257893711079,126478866.22232287,11246.282328944213
60,-48.130910453396744,780880255.5087636,27944.234745449077
70,-26.79980395106697,484753621.0030843,22017.121087987056
80,-13.157536620869154,176421007.92339376,13282.357016862397
90,-6.506597099566403,23821375.931017354,4880.714694695578
100,-58.869384950691725,3578017064.0996056,59816.528352116904
