n_ocupacao,media_DP,var_DP,DP_DP
0,1.3122563715271067,0.01537075171315685,0.12397883574690016
10,19.13215348560707,3.21611663988218,1.7933534620598863
20,29.813219262281393,8.399111096634307,2.8981219947811563
30,39.886367880836005,14.530577883022483,3.8118995111390963
40,49.753829401676626,22.0235493019785,4.6929254524207495
50,59.45726564809484,31.180342218972058,5.5839360865765695
60,69.19282861686719,41.89317344117657,6.472493603023225
70,78.84006868059622,55.173427040712745,7.4278817330860045
80,88.45457604388578,68.52332180727637,8.277881480625123
90,98.00848920537726,84.53906557627738,9.194512797113145
100,107.5674540332696,98.88325271762562,9.944005868744528
