n_ocupacao,media_SNR,var_SNR,DP_SNR
0,-inf,nan,nan
10,7.297342039538733,0.047328382393864527,0.2175508731167598
20,6.450919013682765,0.005321556022188332,0.07294899603276478
30,5.669298483642917,0.020946160064671388,0.14472788281693127
40,5.010335803454402,0.00368286595627384,0.06068662090011142
50,4.418396566797163,0.009427970770517023,0.09709773823584679
60,3.912239638710995,0.0017852015266879534,0.042251645254214105
70,3.45172545271528,0.002599732574541383,0.05098757274612494
80,3.026305288247046,0.002542140176046756,0.05041964077665326
90,2.642265171403775,0.005241187232442197,0.07239604431488089
100,2.296520323533226,0.001529121608420439,0.03910398455938268
