Oc,media_erro,var_erro,desvio_padrao_erro
0,2.6615936279042207e-06,1.7966593960838357,1.3403952387575224
10,9.947112258161106,287.4421693488198,16.954119539180436
20,19.93815246009274,536.7717668572809,23.168335435617315
30,29.986928676019716,761.4892704953876,27.59509504414485
40,39.99649028488811,969.3970417823816,31.13514158924577
50,49.979159613800604,1162.2152628593012,34.09127839872394
60,60.0145379859115,1345.1450652550363,36.67621934244363
70,70.08483340815049,1508.428277042738,38.83848963390232
80,80.09174590102252,1649.612818686652,40.6154258710487
90,90.0519559840808,1775.3852130253035,42.135320255402156
100,100.02524253397179,1881.5406340538898,43.37672917652839
