Oc,media_erro,var_erro,desvio_padrao_erro
0,30.000906635312877,0.2895021532813115,0.5380540430861118
10,7.754744451784665,778.9645539658801,27.909936473698398
20,-14.587006758777662,1489.7961404279765,38.59787740832359
30,-37.059115674769075,2092.951353839661,45.748785271738754
40,-59.446567984652816,2606.0257324842105,51.049248108901764
50,-81.76733941106579,3065.7128282295816,55.3688796006347
60,-104.21250018155632,3464.1118702466124,58.856706247008184
70,-126.73393298172167,3763.7937627128467,61.34976579183368
80,-149.11146533318325,3970.2652377104,63.010040768994905
90,-171.38387139220896,4111.5963225211535,64.1217305016104
100,-193.69050884661385,4177.5787980554815,64.63419217454089
