Oc,media_erro,var_erro,desvio_padrao_erro
0,30.00090633803782,0.16329422310729377,0.4040967991797185
10,7.754728029711672,523.3051326136996,22.875863538098393
20,-14.586996105492382,1001.8751467770701,31.652411389609323
30,-37.05911917638503,1403.7636149000305,37.46683353180557
40,-59.44653027662498,1750.3453471792507,41.83712881137102
50,-81.7672730792667,2062.440972754025,45.41410543822288
60,-104.21274023666454,2329.897488964927,48.26901168415329
70,-126.73412486916702,2526.7961547496734,50.26724733611015
80,-149.1119167381645,2667.844483569875,51.651180853586254
90,-171.3836131710648,2765.2649923670074,52.58578698058067
100,-193.6903070952844,2805.2528728495586,52.96463794693171
