n_ocupacao,media_MAE,var_MAE,DP_MAE
0,29.705373493122504,8.751408081088526,2.9582778911198533
10,19.034996401212236,3.688238583930679,1.9204787382136463
20,24.129111355772967,6.204137118455382,2.4908105344356044
30,39.39357518471019,16.270236962946484,4.033638179478483
40,59.388636421965906,36.18077860670636,6.0150460186690475
50,81.02372329432251,66.14967295329474,8.133244921511631
60,103.15515151558455,107.4055450575552,10.3636646538546
70,125.33791832846504,157.55416559841086,12.552058221598992
80,147.493026621612,217.28926038571325,14.740734730186052
90,169.5985543688373,287.223880025454,16.947680668028116
100,191.68352619124207,365.72776615888,19.12401020076281
