Oc,media_erro,var_erro,desvio_padrao_erro
0,30.000906337409273,0.16329395875160435,0.4040964720850757
10,7.754728053096687,523.3037952713269,22.875834307655904
20,-14.586996180196177,1001.8719364318862,31.65236067707883
30,-37.05911907983076,1403.7621037154572,37.46681336483605
40,-59.44653027131221,1750.334009022214,41.83699330762446
50,-81.7672732929182,2062.4222451758787,45.41389925095486
60,-104.21274043303242,2329.8821739949763,48.26885304204955
70,-126.73412525875062,2526.7761045345856,50.26704789953937
80,-149.11191695925456,2667.8292044711816,51.6510329467977
90,-171.38361332840765,2765.250263175694,52.58564693122729
100,-193.69030681296337,2805.2347084802514,52.96446647026902
