Oc,media_erro,var_erro,desvio_padrao_erro
0,30.000906638384446,0.5918905756803561,0.7693442504369263
10,7.754736921601447,1153.9985579537558,33.9705542779884
20,-14.58717207383375,2211.174525699746,47.023127561868385
30,-37.05933780051339,3105.013582367223,55.72264873789852
40,-59.44669073787932,3867.173661051143,62.1866035497288
50,-81.76754101404617,4549.39480318969,67.4492016497578
60,-104.21245328101467,5128.592581538574,71.6141925985246
70,-126.73396990842426,5584.544931743494,74.729812871059
80,-149.11124873663357,5885.43234218131,76.7165714965242
90,-171.38410338877227,6092.371659131858,78.05364603355731
100,-193.69050784429498,6205.263331572379,78.77349383880582
