Oc,media_erro,var_erro,desvio_padrao_erro
0,30.00090671738996,0.38937832478796414,0.6240018628080882
10,7.7547436500788915,1083.9205000155937,32.922947924139386
20,-14.587101854357455,2077.0688822341413,45.574871170790395
30,-37.05911101621601,2919.0513024593924,54.02824541348157
40,-59.44659673645765,3634.239706893018,60.28465565044739
50,-81.76739535593246,4272.979858279635,65.36803391780752
60,-104.21245860894678,4819.327671192597,69.4213776238458
70,-126.73385859966908,5244.8728666967445,72.42149450747854
80,-149.1113477633254,5532.450247327514,74.38044264003484
90,-171.38391280091008,5716.331336160896,75.60642390803109
100,-193.69050491074685,5814.854108052063,76.25519069579502
