Oc,media_erro,var_erro,desvio_padrao_erro
0,30.000906194791348,0.19103528185572577,0.43707583078423107
10,7.7547387525686995,587.2902350038477,24.234071779291398
20,-14.586976560298353,1123.8837910582995,33.52437607261766
30,-37.05911263954027,1576.2725079392417,39.702298522116344
40,-59.44652974661643,1963.0279757617063,44.306071545124674
50,-81.76729673866025,2312.351934189465,48.086920614544084
60,-104.21264992217942,2613.5440570263513,51.12283303012805
70,-126.73399806065173,2835.106417507795,53.24571736306869
80,-149.1117644524075,2992.468811992188,54.70346252288047
90,-171.38367508527335,3101.081380836345,55.687353868148065
100,-193.69038446407657,3148.0367861465043,56.10736837659118
