n_ocupacao,media_EME,var_EME,DP_EME
0,1.9601653575728068e-06,4.292818185171793e-08,0.00020719117223404556
10,9.86997506331799,1.0408283218107774,1.0202099400666402
20,19.751511109828805,4.040340056894157,2.010059714758285
30,29.663628905773496,8.938852936944118,2.9897914537546124
40,39.56740642732193,15.780282592768112,3.9724403825316386
50,49.46954903543446,24.476979953024884,4.947421545919135
60,59.40535535657597,35.371471831203635,5.947392019297504
70,69.32899600527035,48.01857724432238,6.929543797705761
80,79.23574512660636,62.568919601409554,7.910051807757617
90,89.12079254830314,79.15808460517589,8.897082926733678
100,98.99643767168345,97.44025527322536,9.871183073635367
